sutra_ref	sutra_id	final_form	dhatu_root	dhatu_meaning	gana	wiki_target	chain
4.1.15	41015	सौपर्णेयी	सुपर्णी	शब्द			सौपर्णेयी। सुपर्णी+ठक्। सुपर्ण+एय। सौपर्णेय+डी। सौपर्णेयी+सु। सौपर्णेयी।
4.1.15	41015	कुम्भकारी	कुम्भ				कुम्भकारी। कुम्भ+अम्+कृ+अण्। कुम्भ+कृ+अ। कुम्भकार+ङीप्। कुम्भकारी+सु। कुम्भकारी।
4.1.15	41015	औपगवी	उपगु	शब्द			औपगवी। उपगु+अण्। औपगो+अ। औपगवङीप्। औपगवी+सु। औपगवी। ﻿
4.1.15	41015	औत्सी	उत्सादिभ्योऽज्ञ	से अञ् प्रत्यय और इस सूत्र			औत्सी। उत्स+अञ्। औत्स+डी। औत्सी+सु। औत्सी।
4.1.15	41015	ऊरुद्वयसी	ऊरु	शब्द			ऊरुद्वयसी। ऊरु+द्वयसच्। अरुद्वयस+ङीप्। ऊरुद्वयसी+सु। ऊरुद्वयसी।
4.1.15	41015	पञ्चतयी	पञ्च	शब्द			पञ्चतयी। पञ्च+तयम्। पञ्चतय+ङीप्। पञ्चतयी+सु। पञ्चतयी।
4.1.15	41015	आक्षिकी	तेन	दीव्यति खनति जयति जितम्			आक्षिकी। अक्ष+ठक्। अक्ष्+इक। आक्षिक+डी। आक्षिकी+सु। आक्षिकी।
4.1.15	41015	लावणिकी	लवण	शब्द			लावणिकी। लवण+ठञ्। लावण+इक। लावणिक+ङीप्। लावणिकी+सु। लावणिकी।
4.1.15	41015	यादृशी	यद्	शब्द उपपद			यादृशी। यद्+दृश्+कञ्। या+दृश्+अ। यादृश+ङीप्। यादृशी+सु। यादृशी।
4.1.15	41015	इत्वरी	इण्	गतौ धातु इनश्जिसर्तिभ्य: क्वर	अदा०प०		इत्वरी। इण्+क्वरम्। इ+तुक्+वर। इत्वर+ङीप्। इत्वरी+सु। इत्वरी।
4.1.17	41017	गाायणी	प्रथम	गर्ग			गाायणी। गर्ग+यञ्। गाये+ष्फ। गा!-आयन। गाायण+डीम्। गाायणी+सु। गायिणी।
4.1.18	41018	लौहित्यायनी	प्रथम	‘लोहित			लौहित्यायनी। लोहित+यञ्। लौहित्य+ष्फ। लौहित्य्+आयन। लौहित्यायन+ङीष्। लौहित्यायनी+सु। लौहित्यायनी।
4.1.19	41019	कौरव्यायणी	प्रथम	कुरु			कौरव्यायणी। कुरु+ण्य। कौरो+य। कौरव्य+ष्फ। कौरव्य+आयन। कौरव्यायण+ङीष्। कौरव्यायणी+सु। कौरव्यायणी।
4.1.19	41019	माण्डू	प्रथम	मण्डूक			माण्डू कायनी। मण्डूक+अण्। माण्डूक+फ। माण्डूक्+आयन। माण्डूकायन+ङीप्। माण्डूकायनी+सु। माण्डूकायनी॥
4.1.22	41022	पञ्चाश्वा	तद्धितार्थोत्तरपदसमाहारे	च			पञ्चाश्वा। पञ्चाश्व+ठक्। पञ्चाश्व+0। पश्चाश्व+टाप्। पञ्चाश्वा+सु। पञ्चाश्वा।
4.1.22	41022	द्विवर्षा	पूर्ववत्	द्विगु समास, तमधीष्टो भृतो भूतो भावी			द्विवर्षा। द्विवर्ष+ठक्। द्विवर्ष+० 1 द्विवर्ष+टाप्। द्विवर्षा+सु। द्विवर्षा।
4.1.22	41022	द्विशता	पूर्ववत्	द्विगु समास, शाणाद् वा-वा- शताच्चेति वक्तव्यम्			द्विशता। द्विशत+यत्। द्विशत+०। द्विशत्+टाप्। द्विशता+सु। द्विशता।
4.1.22	41022	द्विबिस्ता	पूर्ववत्	द्विगु समास, सम्भवत्यवहरति पचति			द्विबिस्ता। द्विबिस्त+ठक। द्विबिस्त+०। द्विबिस्त+टाप्। द्विबिरता+सु। द्विबिस्ता।
4.1.22	41022	याचिता	पूर्ववत्	द्विगु समास, आढकाचितपात्रात् खोऽन्यतरस्याम् की अनुवृत्ति			याचिता। द्वयाचित+ष्ठन्। द्वयाचित+०। द्वयाचित+टाप्। द्वयाचिता+सु। द्वयाचिता।
4.1.22	41022	द्विकम्बल्या	सब				द्विकम्बल्या। द्विकम्बल्य+ठक्। द्विकम्बल्य+०। द्विकम्बल्य+टाम्। द्विकम्बल्या+सु। द्विकम्बल्या।
4.1.23	41023	द्विकाण्डा	पूर्ववत्	द्विगुसमास, प्रमाणे द्वयसज्दनमात्रच:			द्विकाण्डा। द्विकाण्ड+द्वयसच्। द्विकाण्ड+०। द्विकाण्ड+टाप्। द्विकाण्डा+सु। द्विकाण्डा।
4.1.24	41024	द्विपुरुषा-द्विपुरुष+द्वयसच्	सब				द्विपुरुषा-द्विपुरुष+द्वयसच्। द्विपुरुष+०। द्विपुरुष+टाप्। द्विपुरुषा+सु। द्विपुरुषा।
4.1.27	41027	द्विदाम्नी	से	अ लोप होता है। शेष			द्विदाम्नी। द्वि+दामन्+डी। द्विदाम्न्+ई। द्विदाम्नी+सु। द्विदाम्नी।
4.1.28	41028	बहुराज्ञी	इस	सूत्र			बहुराज्ञी। बहु+राजन्। बहुराजन्+डी। बहुराजन्+ई। बहुराज्ञ्+ई। बहुराज्ञी+सु। बहुराज्ञी।
4.1.28	41028	बहुराजा	विकल्प	पक्ष			बहुराजा। बहु+राजन्। बहुराजन्+डा। बहुराज्+आ। बहुराजा+सु। बहुराजा।
