sutra_ref	sutra_id	final_form	dhatu_root	dhatu_meaning	gana	wiki_target	chain
1.1.1	11001	आश्वलायन	अश्वल	शब्द			आश्वलायन:। अश्वल+फक्। आश्वल्+आयन। आश्वलायन+सुँ। आश्वलायन:।
1.1.1	11001	शालीय	शाला	शब्द			शालीय:। शाला+छ। शाल्+ईय। शालीय+सुँ। शालीयः।
1.1.1	11001	ऐतिकायन	इतिक	शब्द			ऐतिकायन:। इतिक+फक्। ऐतिक्+आयन। ऐतिकायन+सुँ। ऐतिकायनः।
1.1.1	11001	औपगवः	उपगु	शब्द			औपगवः। उपगु+अण्। औपगो+अ। औपगव+सुँ। औपगवः।
1.1.2	11002	कर्त्ता	डुकृञ्	करणे	तना०उ०	08.0010__डुकृञ्_करणे	कर्त्ता। कृ+तृच्। कर्+तृ। कर्तृ+सुँ। कर्त् अनङ्+स्। कर्तन्+स्। कर्तान्+स्। कर्तान्+०। कर्ता।
1.1.2	11002	जेता	जि	जये	भ्वा०3०		जेता। जि+तृच्। जे+तृ। जेतृ+सुँ। जेत अनङ्+सुँ। जेतन्+स्। जेतान्+स्। जेतान्+०। जेता।
1.1.2	11002	होता	हु	दानादनयोरादाने चेत्येकें	अदा० प०		होता। हु+तृच्। हो+तृ। होतृ+सुँ। होत् अनङ्+स्। होतन्+स्। होतान्+01 होता।
1.1.3	11003	जेता	जि	जये	भ्वादि		जेता। जि+तृच्। जि+तृ। जेतृ+सुँ। जेता
1.1.3	11003	होता	हु	दानादनयोरादाने चेत्येके	अदा०प०		होता। हु+तृच्। हु+तृ। होतृ+सुँ। होता।
1.1.3	11003	कर्ता	डुकृञ्	करणे	तना० उ०	08.0010__डुकृञ्_करणे	कर्ता। कृ+तृच्। कृ+तृ। कर्तृ+सुँ। कर्ता।
1.1.3	11003	अचैषीत्	चिञ्	चयने			अचैषीत्। चि+लुङ्। अट्+चि+च्लि+तिप्। अ+चि+सिच्+ति। अ+चि+स्+ईट्+त्। अ+चै+ष्+ई+त्। अचैषीत्।
1.1.4	11004	चेचियः	चिञ्	चयने	स्वा००उ०		चेचियः। चेचिय+अच्। चेचिय+अ। चेचिय+सुँ। चेचियः।
1.1.4	11004	लोलुवः	लूज	लवने	क्रया०3०		लोलुवः। लोलूय+अच्। लोलू+अ। लोल उवङ्+अ। लोलुव्+अ। लोलुवः।
1.1.4	11004	मरीमृजः	मजूष	शुद्धौ	अदा०प०		मरीमृजः। मरीमृज्+अच्। मरीमृ+अ। मरीमृज+सुँ। मरीमृजः।
1.1.5	11005	जिष्णुः	जि	जये	भ्वा०प०		जिष्णुः। जि+गस्नु। जि+स्नु। जिष्णु+सुँ। जिष्णुः।
1.1.5	11005	भूष्णुः	भू	सत्तायाम्	भ्वा०प०		भूष्णुः। भू+ग्स्नु। भू+स्नु। भूष्णु+सुँ। भूष्णुः।
1.1.5	11005	चितः	चिञ्	चयने	स्वा०उ०		चितः। चि+क्त। चि+त। चित+सुँ। चित:।
1.1.5	11005	चितवान्	चि				चितवान्। चि क्तवतु। चि+तवत्। चितवत्+सुँ। चितवान्।
1.1.5	11005	मृष्ट	मृजूष	शुद्धौ	अदा०प०		मृष्ट:। मृज्+क्त।
1.1.5	11005	चिनुतः	चि				चिनुतः। चि+लट्। चि+शनु+तस्। चि+नु+तस्। चिनुतः।
1.1.5	11005	मृष्ट	मृजूष	शुद्धौ	अदा०प०		मृष्ट:। मृ+लट्। मृज्+शप्+तस्। मृज+o+तस्। मृ+तस्। मृष्ट:।
1.1.6	11006	आदीध्यनम्	दीधीङ्	दीप्तिदेवनयोः	अदा०आ०	02.0071__दीधीङ्_दीप्तिदेवनयोः	आदीध्यनम्। आड्+दीधी+ल्युट्। आ+दीधी+अन। आदीध्यन+सुँ। आदीध्यनम्।
1.1.6	11006	आदीध्यकः	दीधीङ्	दीप्तिदेवनयोः	अदा०आ०	02.0071__दीधीङ्_दीप्तिदेवनयोः	आदीध्यकः। आङ्दीधी+ण्वुल्। आ+दीधी+अक। आदीध्यक+सुँ। आदीध्यकः।
1.1.6	11006	श्व:	कणँ	शब्दे	भ्वादि०प०	01.0517__कणँ_शब्दे	श्व: कणिता। कण+लुट्। कण्+तिम्। कण्+डा। कण्+तास्+आ। कण+इट्+तास्+आ। कण++त+आ। कणिता।
1.1.7	11007	अग्निः	ग्-न	की संयोग संज्ञा है			अग्निः। अ+ग+न+इ+:=अग्निः।
1.1.7	11007	अश्वः	श्+व्	की संयोग संज्ञा है			अश्वः। अ+श्+व्+अ+: अश्व।
1.1.7	11007	इन्द्रः	न्+द्+र्	की संयोग संज्ञा है। इसी प्रकार अन्यत्र भी समझ लेवें। संयोग संज्ञा			इन्द्रः। इ+न्+द्+र्+अ+:=इन्द्रः।
1.1.9	11009	दण्डाग्रम्	दोनों	अकारों			दण्डाग्रम्। दण्ड + अग्रम्। दण्डाग्रम्।
1.1.9	11009	खट्वा+अग्रम्	भी	दण्डाग्रम्			खट्वा+अग्रम्। खट्वाग्रम्। दधि+इन्द्र। दधीन्द्र। मधु+उदकम्। मधूदकम्। पितृ+ऋणम्। पितॄणम्।
1.1.16	11016	वायविति	ओकार	की पाणिनि मुनि			वायविति। वायो+इति = वायविति।
1.1.17	11017	विति	उञ्	की पाणिनि मुनि			विति - उ + इति = विति।
1.1.23	11023	षट्	षष्	शब्द की षट् संज्ञा			षट् तिष्ठन्ति। षष्+जस्। षष्+अस्। षष्+०। षड्। षट्।
1.1.23	11023	षट्	षष्	शब्द की षट् संज्ञा			षट् पश्य। षष्+शस्। षष्+अस्। षष्+01 षड्। षट्।
1.1.24	11024	कति	डति-प्रत्ययान्त	कति			कति तिष्ठन्ति। किम्+डति। किम् अति। क्+अति। कति। कति+जस्। कति+01 कति।
1.1.24	11024	कति	डति	प्रत्ययान्त कति			कति पश्य। कति+शस्। कति+०। कति।
1.1.26	11026	सर्वे	सर्व	शब्द की सर्वनाम संज्ञा			सर्वे। सर्व जस्। सर्व+शी। सर्व+ई। सर्वे।
1.1.26	11026	सर्वस्मै	सर्व	शब्द की सर्वनाम संज्ञा			सर्वस्मै। सर्व+डे। सर्व+स्मै। सर्वस्मै।
1.1.26	11026	सर्वस्मात्	सर्व	शब्द की सर्वनाम संज्ञा			सर्वस्मात्। सर्व+डसि। सर्व+स्मात्। सर्वस्मात्।
1.1.26	11026	सर्वस्मिन्	सर्व	शब्द की सर्वनाम संज्ञा			सर्वस्मिन्। सर्व+डि। सर्व+स्मिन्। सर्वस्मिन्।
1.1.26	11026	सर्वकः	सर्व	शब्द की सर्वनाम संज्ञा			सर्वकः। सर्व+अकच्+अ। सर्व+अक+अ। सर्वक+सुँ। सर्वकः।
1.1.27	11027	उत्तरपूर्वायै	सर्वनाम	संज्ञा न			उत्तरपूर्वायै। उत्तरपूर्वा+डे। उत्तरपूर्वा+याद+ए। उत्तरपूर्वा+या+ए। उत्तरपूर्वायै।
1.1.28	11028	प्रियविश्वाय	विश्व	शब्द की सर्वनाम संज्ञा न			प्रियविश्वाय। प्रियविश्व+डे। प्रियविश्व+य। प्रियविश्वा+य। प्रियविश्वाय।
1.1.29	11029	मासपूर्वाय	तृतीया	समास			मासपूर्वाय। मासपूर्व+डे। मासपूर्वाभ्य। मासपूर्वाय।
1.1.30	11030	पूर्वापराणाम्	द्वन्द्व	समास			पूर्वापराणाम्। पूर्वापर+आम्। पूर्वापर+नुट्+आम्। पूर्वापर+न्+आम्। पूर्वापरा+नाम्। पूर्वापराणाम्।
1.1.32	11032	प्रथमे	प्रथम	शब्द की सर्वनाम संज्ञा			प्रथमे। प्रथम + जस्। प्रथम+शी। प्रथम +ई। प्रथमे।
1.1.32	11032	प्रथमा	प्रथम	शब्द की सर्वनाम संज्ञा न			प्रथमा:। प्रथम+जस्। प्रथम+अस्। प्रथमाः।
1.1.32	11032	द्वितये	प्रथम	द्विशब्द			द्वितये। द्वि+तयप्। द्वितय। द्वितय+जस्।' द्वितय+शी। द्वितय+ ई। द्वितये। सूत्र में 'तय' कहने से तयप्-प्रत्ययान्त शब्द का ग्रहण किया जाता है।
1.1.33	11033	पूर्वे	पूर्व	शब्द की सर्वनाम संज्ञा			पूर्वे | पूर्व + अस्। पूर्व+शी। पूर्व+ई। पूर्वे।
1.1.33	11033	पूर्वा	पूर्व	शब्द की सर्वनाम संज्ञा न			पूर्वा:। पूर्व+जस्। पूर्व+अस्। पूर्वा:।
1.1.34	11034	स्वे	स्व	शब्द की सर्वनाम संज्ञा			स्वे पुत्राः। स्व+जस्। स्व+शी। स्व+ई। स्वे।
1.1.34	11034	स्वा:	स्व	शब्द की सर्वनाम संज्ञा न			स्वा: पुत्राः। स्व+जस्। स्व+अस्। स्वा:।
1.1.35	11035	अन्तरे	अन्तर	शब्द की सर्वनाम संज्ञा			अन्तरे गृहाः। अन्तर+जस्। अन्तर+शी। अन्तर+ई। अन्तरे।
1.1.35	11035	अन्तरा	अन्तर	शब्द की सर्वनाम संज्ञा न			अन्तरा गृहाः। अन्तर+जस्। अन्तर+अस्। अन्तराः।
1.1.37	11037	ततः	पञ्चम्यन्त	तत्			ततः। तत्+ङसि+तस्। तत्+तस्। त अ+तस्। त+तस्। तत:।
1.1.37	11037	तत्र	सप्तम्यन्त	त्त्			तत्र। तत्+ङि+त्रल्। तत्+त्रं। त अ+त्र। त+त्र। तत्र।
1.1.38	11038	वक्षे	वच्	परिभाषणे	अदा०प०		वक्षे | वच्+से। वक्+षे। वक्षे।
1.1.38	11038	एषे	इण्गतौ		अदा०प०		एषे। इण्+से। इ+से। ए+से। एषे।
1.1.38	11038	जीवसे	जीव	प्राणधारणे धातु पूर्ववत् असे प्रत्यय होता है	भ्वा०प०		जीवसे | जीव+असे। जीवसे |
1.1.38	11038	दृशे	दृशिर्	प्रेक्षणे धातु	भ्वा०प०		दृशे। दृश्+केन। दृश्+ए। दृशे।
1.1.39	11039	अपाकर्तो	अप	और आङ् उपसर्गपूर्वक कृ			अपाकर्तो। अप+आङ्+कृ+तोसुन्। अप+आ+कर्+तोस्। अपाकर्तोः।
1.1.39	11039	विसृप	वि	उपसर्गपूर्वक सुप्लृ  गतौ	भ्वा०प०		विसृप:। वि+सृप् +कसुन्। वि+सृप्+अस्। विसृपः।
1.1.40	11040	उपाग्नि	अव्ययं	विभक्तिसमीप०			उपाग्नि। उप+अग्नि। उपाग्नि+सुँ। उपाग्नि।
1.1.40	11040	प्रत्यग्नि	सब				प्रत्यग्नि। अग्निम् अग्निं प्रति इति प्रत्यग्नि। प्रति+अग्नि। प्रत्यग्नि।
1.1.41	11041	कुण्डानि	जश्शसो:	शि			कुण्डानि तिष्ठन्ति। कुण्ड+जस्। कुण्ड+शि। कुण्ड+इ। कुण्ड+नुम्+इ। कुण्ड+++इ। कुण्डा+न्+इ। कुण्डानि।
1.1.41	11041	कुण्डानि	सब				कुण्डानि पश्य। कुण्ड+शस्। कुण्ड+शि। कुण्ड + इ। कुण्ड + नुम्+इ। कुण्ड+न्+इ। कुण्डा+न्+इ। कुण्डानि।
1.1.42	11042	राजा	सुप्रत्यय	की सर्वनामस्थान संज्ञा			राजा। राजन्+सुँ। राजान्+सुँ। राजान्+०। राजान्। राजा।
1.1.43	11043	शुशाव	टुओश्वि	गतिवृद्ध्यो	भ्वा०आ०		शुशाव। शिव+लिट्। शिव+तिप्। शिव+णल। शिव+अ। शुट+। शु+अ। शु+शु+अ। शु+शौ+अ। शु+शाव्+अ। शुशाव।
1.1.43	11043	शिश्वाय	विभाषा	श्वे:			शिश्वाय। श्वि+लिट। श्वि+तिप्। श्वि+णल। श्वि+अ। श्वि+श्वि+अ। शि+श्वि+अ। शि+श्वै+अ। शि+श्वाय्+अ। शिश्वाय।
1.1.44	11044	इष्टम्	यज्	देवपूजासंगतिकरणदानेषु	भ्वा०उ०		इष्टम्। यज्+क्त। यज्+त। इ अज्+त। इज्+त। इष्+त। इष्+ट। इष्ट+सुँ। इष्टम्।
1.1.44	11044	उप्तम्	डुवप्	बीजसन्ताने छेदने च	भ्वादि		उप्तम्। वप्+क्त। वप्+त। उ अ प्+त। उप्+त। उप्त+सुँ। उप्तम्।
1.1.44	11044	गृहीतम्	ग्रह	उपादाने	क्रया०प०		गृहीतम्। ग्रह+क्त। ग्रह+त। गृ ह्+त। गृह+त। गृह+इट्+त। गृह+इ+त।गृह+ई+त। गृहीत+सुँ। गृहीतम्।
1.1.45	11045	लविता	लूज	छेदने	क्रया उ०		लविता। लू+तृच्। लू+इट्+तु। लो+इ+तृ। लव्+इ+तृ। लवितृ+सुँ। लवित अनङ्+सुँ। लवितन्+सुँ। लवितान+स्। लवितान्+०। लविता।
1.1.45	11045	भीषयते	त्रिभी	भये	जु०प०		भीषयते। भी+णिच्। भी+युक्+इ। भी+ष्+इ। भीषि+लट्। भीषि+त। भीषि+शप्+त। भीषि+अ+त। भीषे+अ+त। भीषय्+अ+ते। भीषयते।
1.1.46	11046	मुञ्चति	मच्न	मोचने	तु०प०		मुञ्चति। मुच्+लट्। मुच्+श+तिप्। मुच्+अ+ति। मुनुम् च+अ+ति। मुन् च+अ+ति। मु“च+अ+ति। मुञ् च+अ+ति। मुञ्चति।
1.1.46	11046	पयांसि	नपुंसकस्य	झलचः			पयांसि। पयस्+जस्। पयस्+शि। पय नुम् स्+इ। पय न् स्+इ। पयान् स्+इ। पयांस+इ। पयांसि।
1.1.47	11047	उपगु	अव्ययं	विभक्तिसमीप०			उपगु। उप+गो। उपगो। उपगु+सुँ। उपगु। गो: समीपमिति उपगु।
1.1.47	11047	अतिरि	अत्यादय:	क्रान्ताद्यर्थे द्वितीयया	वा० २।२।१८		अतिरि। अति+रै। अति+रि। अतिरि+सुँ। अतिरि। रायमतिक्रान्तमिति अतिरि ब्राह्मणकुलम्।
1.1.47	11047	अतिनु	भी	पूर्ववत् समास तथा औ			अतिनु। अति+नौ। अतिनु+सुँ। अतिनु। नावमतिक्रान्तमिति अतिनु कुलम्।
1.1.49	11049	स्थान	से	दो अकारों			स्थान। दण्ड+अग्रम्। दण्डाग्रम्।
1.1.49	11049	गुण	चजो:	कु घिण्ण्यतो:			गुण | भाग: जैसे - पाकः। पच्+घञ्। पाच्+अ। पाक्+अ। पाक+सुँ। पाकः।
1.1.49	11049	प्रमाण	से	अकार			प्रमाण। अमुष्मै। अदस्+ ङे। अदस्+स्मै। अमु+मै। अमुष्मै।
1.1.50	11050	कर्त्ता	सर्वधातुकार्धधातुकयोः	से क अंग			कर्त्ता। कृ+तृच्। कृ+तृ। क् अर्+तृ। कर्तृ+सुँ। कर्ता।
1.1.50	11050	किरति	ऋत	इद् धातो:			किरति। कॄ+लट्। कॄ+तिप्। कॄ+श+ति। कॄ+अ+ति। क् इर्+अ+ति। किरति।
1.1.50	11050	द्वैमातुरः	द्विमातृ	शब्द			द्वैमातुरः। द्विमातृ+अण्। द्वैमातुर+अ। द्वैमातुर+सुँ। द्वैमातुरः।
1.1.52	11052	मातापितरौ	आनङ्	ऋतो द्वन्द्वे			मातापितरौ। माता च पिता च तौ मातापितरौ। मातृ+पितृ+औ। मात् आनङ् पित+औ। मातापितरौ।
1.1.53	11053	आसीन	आस्	उपवेशने	अदा०प०		आसीन:। आस्+लट्। आस्+शानच्। आस्+आन्। आस्+शप्+आन्। आस्+o+आन। आस्+ईन। आसीन+सुँ। आसीनः।
1.1.53	11053	द्वीपम्	व्यन्तरुपसर्गेभ्योऽप	ईत्			द्वीपम्। द्विर्गता आपो यस्मिन् तद् द्वीपम्। द्वि+अप्। द्वि+ई। द्वीप+अ। द्वीप+सुँ। द्वीपम्
1.1.54	11054	भविता	से	आर्धधातुक विषय			भविता। अस्+तृच्। भू+तृ। भू+इट्+तृ। भो+इ+तृ। भव्+इ+तृ। भवितृ+सुँ। भविता।
1.1.54	11054	कुण्डानि	जश्शसो:	से जस् और शस् प्रत्यय			कुण्डानि। कुण्ड + जस्। कुण्ड+शि। कुण्ड नुम्+इ। कुण्डन्+इ। कुण्डान्+इ। कुण्डानि।
1.1.56	11056	पटयति	पटु	शब्द			पटयति। पटुमाचष्टे पटयति। पटु+णिच्। पट्+इ। पटि+शप्+ति। पटे+अ+ति। पट् अय्+अ+ति। पटयति।
1.1.56	11056	अवधीत्	हन्	हिंसागत्यो	अदा०प०		अवधीत्। हन्+लुङ्। अट्+वध्+च्लि+तिप्। अ+वध्+सिच्+ति। अ+वध्+स्+त्। अ+वध्+इट्+स्+ईट्+त्। अ+वध्+इ+स्+ई+त्। अ+वध्+इ+0+ई+त्। अवधीत्।
1.1.56	11056	बहुखट्वकः	आपोऽन्तरस्याम्	से आ			बहुखट्वकः। बहव्यः खट्वा यस्य स बहुखट्वकः। बहु+खट्वा+कप्। बहु+खट्व+क। बहुखट्वक+सुँ। बहुखट्वकः।
1.1.57	11057	पदान्तविधि	इनसोरल्लोप:	से क्डित् सार्वधातुक प्रत्यय			पदान्तविधि। (कौ स्त:) अस्+लट्। अस्+शप्+तस्। अस्+o+तस्। अस्+तस्। स्+तस्। स्त:।
1.1.57	11057	द्विर्वचनविधि	इको	यणचि			द्विर्वचनविधि। (दद्ध्यत्र) दधि+अत्र। दध् च+अत्र। दध् ध् य+ अत्र। दद्ध्यत्र।
1.1.57	11057	वरेविधि	या	गतौ	अदा०प०		वरेविधि। (यायावर:) या+यङ्। या या+य। या या य+वरच्। या या य+वर। या या+वर। या या व र+सुँ। यायावरः।
1.1.57	11057	यलोपविधि	कण्ड्वादिभ्यो	यक्			यलोपविधि। (कण्डूति:) कण्डू+यक्। कण्डूय+क्तिच्। कण्डूय+ति। कण्डू+ति। कण्डूति+सुँ। कण्डूतिः।
1.1.57	11057	स्वरविधिः	सनन्त	चिकीर्ष			स्वरविधिः। (चिकीर्षक:) चिकीर्ष+ण्वुल। चिकीर्ष+अक्। चिकीर्षक+सुँ। चिकीर्षक:।
1.1.57	11057	सवर्णविधि	शिष्ल	विशेषणे	रुधा०प०		सवर्णविधि। (शिण्डि) शिष्+लोट्। शिष्+सिप्। शिष्+हि। शिष्+धि। शिष्+ढि। शि श्नम् ष्+ढि। शि न +ढि। शिन् ष्+ढि। शिढि। शिण ढि। शिद् ढि। शिढि। शिण ढि। शिण्ढि।
1.1.57	11057	अनुस्वारविधि	शिष्लृ	विशेषणे	रुधादि०		अनुस्वारविधि | ( शिंषन्ति) शिष्+लट्। शिष्+झि। शिष्+अन्ति। शिश्नम् ष्+अन्ति। शि न् ष्+अन्ति। शि ष्+अन्ति। शिषन्ति।
1.1.57	11057	दीर्घविधि	‘अल्लोपोऽन:’	से अकार	अद०प०		दीर्घविधि। (प्रतिदीना) प्रतिदिवन्+टा। प्रतिदीवन् + आ। प्रतिदीना।
1.1.57	11057	चर्विधि	अद्	भक्षणे	अदा०प०		चर्विधि | ( जक्षतुः) अद्+लिट्। अद्+तस्। अद्+अतुस्। घस्लृ+अतुस्। घस्+अतुस्। घ् स्+अतुस्। घस् घस् +अतुस्। घ+घस्+अतुस्। ज+घ्स्+अतुस्। ज+क्स्+अतुस्। ज+क्+ष्+अतुस्। जक्षतुः।
1.1.58	11058	आल्लोप	परोक्षे	लिट्			आल्लोप। (पपतुः) पा+लिट्। पा+तस्। पा+अतुस्। प्+अतुस्। पा+पा+अतुस्। प+प्+अतुस्। पपतुः।
1.1.58	11058	उपधा	हन्	हिंसागत्योः	अदा०प०		उपधा लोप | ( जघ्नतुः) हन्+ लिट्। हन्+तस्। हन्+अतुस्। न्+अतुस्। हन्+हन्+अतुस्। ह+हन्+अतुस्। झ+हन्+अतुस्। ज+हन्+अतुस्। जघ्नतुः।
1.1.58	11058	णिलोप	अट्	गतौं	स्वा०प०		णिलोप | ( आटिटत्) अट्+ णिच्। आट्+इ। आटि+लुङ्। आट्+आटि+ चिल+तिप्। आ+आटि+ चङ्+ति। आ+आटि+अ+त्। आ+आट्+अ+त्। आ+आटि+ टि+अ+त्। आ आटि ट्+अ+त्। आटिटत्।
1.1.58	11058	यण्	पूर्ववत्	लिट् प्रत्यय करने पर			यण् आदेश। (चक्रतुः ) कृ+लिट्। कृ+तस्। कृ+अतुस्। क्रूर्+अतुस्। कृ+कृ+अतुस्। कृ+कर्+अतुस्। क् अ+क्रू+अतुस्। च+क्र्+अतुस्। चक्रतुः |
1.1.58	11058	अय्	णीञ्	प्रापणे	भ्वा० उ०	01.1049__णीञ्_प्रापणे	अय् आदेश | (निनय) नी+लिट्। नी+मिप्। नी+णल्। नी+अ। ने+अ। न् अय्+अ। ने+ने+अ। नि+नय्+अ। निनय। '
1.1.58	11058	आय्	पूर्ववत्	लिट् प्रत्यय			आय् आदेश। (निनाय) नी+लिट्। नी+मिप्। नी+णल्। नी+अ। नै+अ। न् आय्+य। नै+नै+अ। नि+नाय् +अ। निनाय।
1.1.59	11059	गौधेरः	गोधा	शब्द			गौधेरः। गोधा+ ढ्रक्। गोधा एय। गोधा+एकर। गोध एर्। गौधाएर। गौधेर+सुँ। गौधेरः।
1.1.59	11059	पचेरन्	डुपचष्	पाके	भ्वा०प०		पचेरन्। पच्+लिङ्। पच्+झ। पच्+रन्। पच+शप्+रन्। पच्+अ+रन्। पच्+अ+सीयुट्+रन्। पच्+अ+इय्+रन्। पच्+ई+रन्। पचेरन्।
1.1.59	11059	जीरदानुः	जीव	प्राणधारणे	भ्वा०प०		जीरदानुः। जीव्+रदानुक्। जीव+रदानु। जीरदानुः।
1.1.60	11060	लुक्	अद्	भक्षणे	अदा०प०		लुक्। अत्ति | अद्+लट्। अद्+तिप्। अद्+शप्+ति। अद्+0+ति। अत्ति।
1.1.60	11060	श्लु	हु	दानादनयो:, आदाने चेत्येकें	जु०प०		श्लु। (जुहोति ) हु+लट्। हु+शप्+तिप्। हु+०+ति। हु+हु+ति। हु+हो+ति। मु+हो+ति। जुहोति।
1.1.61	11061	अग्निचित्	से	अग्नि	स्वा० उ०		अग्निचित्। अग्नि+अम्+चि+क्विप्। अग्नि+चि+वि। अग्नि+चि+तुक्+वि। अग्निचि+त्+वि। अग्निचित्+0 | अग्निचित् + सुँ। अग्निचित्+०। अग्निचित्।
1.1.61	11061	अधोक्	दादेर्धातोर्घः	से हकार			अधोक्। दुह् + लङ्। अट्+दुह्+तिप्। अ+दुह्+शप्+ति। अ+दुह्+0+त्। अदोह+तु। अदोह+0 | अदोध्। अधोध्। अधोग्। अधोक्।
1.1.62	11062	लुक्	मृजूष	शुद्धौं	अदा०प०		लुक्। (मृष्टः) मृज्+लट्। मज्+तस्। मृज्+शप्+तस्। मृज्+अ+तस्। मृज्+०+तस्। मृष्+तस्। मृष्+टस्। मृष्टः।
1.1.62	11062	श्लु	हु	दानादनयो:, आदाने चेत्येके	जु०प०		श्लु। ( जुहुत:) हु+लट्। हु+तस्। हु+शप्+तस्। हु+अ+तस्। हु+0+तस्। हु+हु+तस्। झु+हु+तस्। जु+हु+तस्। जुहुतः।
1.1.62	11062	लुप्	तस्य	निवास:			लुप्। (पञ्चालाः ) पञ्चाला+अण्+तस्। पञ्चाल+अ+अस्। पञ्चाल+०+अस्। पञ्चालाः। पञ्चालानां जनपदो निवासः पञ्चालाः।
1.1.63	11063	पचेते	आताम्	प्रत्यय			पचेते। पच्+लट्। पच्+शप्+आताम्। पच+अ+आताम्। पच्+अ+इयताम्। पच्+अ+इ० ते। पचेते।
1.1.68	11068	खट्वेन्द्रः	आगुण	से अ			खट्वेन्द्रः। खट्वा+इन्द्रः। खट्वेन्द्रः।
1.1.68	11068	मालीयति	से	अ कं कहा ईकार - आदेश सवर्ण ग्रहण			मालीयति। माला+क्यच्। माली+य। मालीय+लट्। मालीय+शप्+तिप्। मालीय+अ+ति। मालीयति।
1.1.68	11068	मालीयः	से	अ			मालीयः। माला+छ। माल्+ईय। मालीय+सुँ। मालीयः।
1.1.69	11069	वृक्षैः	में	अ			वृक्षैः। वृक्ष+भिस्। वृक्ष+ऐस्। वृक्षैस्। वृक्षैः।
1.1.71	11071	जयः	जि	जये	भ्वा०प०		जयः। जि+अच्। जे+अ+। ज् अय+अ। जय+स। जयः।
1.1.71	11071	अयः	इण	गतौ	अदा०प०		अयः। इ+अच्। ए+अ। अय्+अ। अय+सुँ। अयः।
1.1.71	11071	अवश्यलाव्यम्	से	आवश्यकता द्योतित	क्रया०3०		अवश्यलाव्यम्। अवश्य+लू+ण्यत्। अवश्य+लौ+य। अवश्य+लाव+य। अवश्यलाव्य+सुँ। अवश्यलाव्यम्।
1.1.72	11072	शालीय	शाला	शब्द			शालीय:। शाला+छ। शाला+ईय। शाल्+ईय। शालीय+सुँ। शालीयः।
1.1.73	11073	त्यदीयम्	त्यद्	शब्द की वृद्ध संज्ञा			त्यदीयम्। त्य+छ। त्यद्+ईय् अ। त्यदीय+सुँ। त्यदीयम्।
1.2.1	12001	अध्यगीष्ट	इङ्	अध्ययने	अदा०आ०		अध्यगीष्ट। इङ्+लुङ्। इ+ल्। गाङ्+चिल+ल्। अ+गा+सिच्+त। अ+गा स्+त्। अ+ग् ई+स्+त। अ+गी+ष्+ट। अगीष्ट। अधि+अगीष्ट। अध्यगीष्ट।
1.2.1	12001	कुटिता	कुट	कौटिल्ये	तु०प०		कुटिता। कुट्+तृच्। कुट्+इट्+तृ। कुट्+इ+तृ। कुटितृ+सुँ। कुटित् अनङ्+स्। कुटितन्+स्। कुटितान्+स्। कुटितान्+०। कुटिता।
1.2.2	12002	उद्विजिता	उत्	उपसर्गपूर्वक ओविजी भय-सञ्चलनयो	तु०आ०		उद्विजिता। विज्+तृच्। विज्+इट्+तृ। विज्+इ+तृ। विजितृ+सुँ। विजित् अनड्+स्। विजितन्+स्। विजितान्+स्। विजितान्+0 विजिता। उत्+विजिता। उद्विजिता।
1.2.3	12003	प्रोणुविता	ऊर्गुञ्	आच्छादने	अदा०उ०		प्रोणुविता। ऊर्गु+तृच्। ऊर्गु+इट्+तु। ऊर्गुइ+त्। ऊ उखड्+इ+तृ। ऊर्ण उव्+इ+तु। ऊर्णवितृ+सुँ। ऊर्णविता। प्र+ऊर्णविता। प्रोर्णविता।
1.2.3	12003	प्रोर्णविता	पूर्ववत्	तृच प्रत्यय और उसको इट			प्रोर्णविता। ऊर्गु+तृच। ऊर्गु+इट्+तृ। अणु+इ+तृ। ऊर्णो+इ+तृ। ऊर्ण अव्+इ+तृ। ऊवितृ+सुँ। ऊर्णविता। प्र+ऊर्णविता। प्रोविता।
1.2.4	12004	कुरुतः	डुकृञ्	करणे	तना०3०	08.0010__डुकृञ्_करणे	कुरुतः। कृ+लट्। कृ+तस्। क् उ +उ+तस्। कुरुतः।
1.2.5	12005	बिभिदतुः	भिदिर्	विदारणें	रुधा०प०		बिभिदतुः। भिद्+लिट्। भिद्+तस्। भिद्+अतुस्। भिद्+भिद्+अतुसु। बि+भिद्+अतुस्। बिभिदतुः।
1.2.5	12005	ईजतुः	यजँ	देवपूजासङ्गतिकरणदानेषु	भ्वा०प०	01.1157__यजँ_देवपूजासङ्गतिकरणदानेषु	ईजतुः। यज् + लिट्। यज्+तस्। यज्+अतुस्। इ अ ज्+अतुस्। इज्+इज्+अतुस्। इ+इज् + अतुस्। ईजतुः।
1.2.6	12006	ईधे	लिट्	प्रत्यय कित्			ईधे। इन्ध्+लिट्। इन्धु+त। इन्ध्+एश्। इन्ध्+इन्ध्+ए। इ+इन्ध्+ए। इ+इध्+ए। ञिइन्धीँ_दीप्तौ 7.11। धातु से पूर्ववत् लिट् प्रत्यय, लिटस्तझयोरेशिरेच् ( अधिकरणे बन्धः 3.4.41) से 'तं' प्रत्यय के स्थान में 'एश्' आदेश, लिटि धातोरनभ्यासस्य ( लिटि धातोरनभ्यासस्य 6.1.8) से 'इन्ध्' धातु को द्विर्वचन, हलादिः शेष:' ( गुणो यङ्लुकोः 7.4.82) से अभ्यास कार्य होता है।
